,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
553,Data Scientist,$106K-$182K (Glassdoor Est.),"Scientific Research Corporation is an advanced information technology engineering company that provides innovative products and services to government and private industry, as well as independent institutions. At the core of our capabilities is a seasoned team of highly skilled engineers and scientists with multidisciplinary backgrounds. This team is challenged daily to provide cutting edge technology solutions to our clients.

PRIMARY DUTIES & RESPONSIBILITIES:


SRC is on contract supporting the U.S. Air Force Air Combat Command's (ACC) Intelligence Community Information Technology Enterprise program and providing support to the Intelligence Community Advanced Campaign Cell (IC/ACC), an Office of Director of National Intelligence (ODNI)-chartered organization whose mission is to develop and apply innovative analytic and collection methods, technology, and tradecraft techniques to include model driven methodologies that integrate multiple disciplines in support of the community's efforts against the hardest problems.
Assists engineers and the Government in requirements efforts, projects and campaigns aligned to the U.S. Air Force ACC's priorities and the IC/ACC Framework and leverages the IC/ACC's unique accesses and authorities to evolve collection, linked knowledge, and analysis tradecraft versus a focus on solving the hard intelligence problems using traditional methods
Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large datasets for specified purposes
Develop and show value of analytics via concept demonstration using sense-make knowledge/ dynamic Graph contents akin to Google Knowledge Graph approaches
Support implementation/evolution of model-driven methodology integral to integrated intel framework
Develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems
Anticipate trends, activities, events, or issues/concerns by analyzing information to evaluate importance and significance and assess their utility in predicting activities or solving intelligence problems
Must have current / active TS/SCI and CI Poly
Some travel required
Scientific Research Corporation offers a competitive salary, an extensive benefits package and a work environment that encourages excellence. Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information.

Scientific Research Corporation is an equal opportunity and affirmative action employer that does not discriminate in employment.

All qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, age, sexual orientation, gender identity, or national origin, disability or protected veteran status.

FILLING THIS POSITION IS CONTINGENT UPON FUNDING",4.2,"Scientific Research Corporation
4.2","Fort Belvoir, VA","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,?10 to ?50 billion (INR),-1
554,Data Scientist,$106K-$182K (Glassdoor Est.),"The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/or she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions.The position will serve as a thought leader including advising on optimal solutions and opining on challenger models. The role works on strategic, highly visible projects firm wide. It is an opportunity to have meaningful impact on a large scale at a leading financial services firm. The role will develop data-centric solutions that move the bottom line for the firm.In Corporate Technology Machine Learning at JPMorgan Chase, our role involves solving challenging business problems through data science and machine learning techniques across all the corporate functions, including Risk, Compliance, Finance, HR, Legal, and Audit.This role requires a wide variety of strengths and capabilities, including:* Advanced degree in analytical field (e.g., Data Science, Computer Science, Engineering, Applied Mathematics, Statistics, Data Analysis, Operations Research)* Extensive practical expertise and work experience with Machine Learning, both supervised and unsupervised. Deep Learning (neural network) experience is preferred.* Experience across broad range of modern analytic and data tools, particularly Python/Anaconda and/or R, XGBoost, Tensorflow and/or Keras, Spark, Hive, SQL.* Excellent problem solving, communications, and teamwork skills.* Financial service background preferred, but not required",3.9,"JPMorgan Chase & Co.
3.9","Lewisville, TX","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,?500+ billion (INR),-1
555,"Director II, Data Science - Office of Data Science",$106K-$182K (Glassdoor Est.),"Help shape the future of Data Science across Liberty!

As a technical member of the Office of Data Science (ODS), Enablement & Collaboration unit, you will work with a team of data science (DS) and machine learning (ML) experts to solve Liberty's most challenging data science problems.

The ODS was created to provide additional centralized support and expertise to DS teams across the global organization. Our projects focus on key areas of interest to multiple teams, bleeding edge research and experimentation, common tool development, and establishing best practices to ensure the scientific community at Liberty is well-positioned to rapidly meet the challenges of modern industry.

If you are interested in making an impact on an entire culture at a Fortune 100 company, the ODS is the place for you!

As a centralized group, our project scope is vast. Possible projects include:
Design new language models (NLP/NLU) to understand and build predictions or summaries from customer calls, claim notes, web chats, medical records, and beyond
Detect property hazards from aerial imagery, customer photos, geospatial data, etc. using computer vision (CV)
Explore the advantages and limitations of privacy-preserving ML, to accelerate experimentation and better protect our customers' data
Push the boundaries in fundamental experimentation to boost and augment small-sample or rare-event data, transfer learning, and similar techniques
Engage in theoretical research in collaboration with MIT, via Liberty's investment in the MIT Quest for Intelligence, to shape the future of AI
Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.4,"Liberty Mutual Insurance
3.4","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Operators,Insurance,?500+ billion (INR),"Travelers, Allstate, State Farm"
556,Data Scientist,$106K-$182K (Glassdoor Est.),"Overview


Do you love numbers and finding the story in the numbers? Does the thought of tackling a complex data issue make you smile? Have you got a knack for solving problems? Do you want to help drive the results of a multi-million dollar business? If you have answered ""yes"" to these questions, the Data Scientist position at Strategic Financial Solutions may be the right fit for you.

Strategic is looking for an experienced Data Scientist with statistical and machine learning experience to join our Data Science Team, which produces models for prescriptive and predictive analytics. The person in this role would be responsible for conducting data analysis and developing predictive models by leveraging data science and machine learning to solve various business use cases, including marketing intelligence, customer segmentation, and predictive models for operations.

This is a great opportunity for someone who wants to learn all aspects of business as s/he will support our product, sales, leadership and marketing teams with insights gained from analyzing company and external data.

Candidates must have strong experience in a variety of data manipulation tools, data analysis/ mining methods to build and implement models and should be able to develop algorithms and simulation methods. A successful candidate will have the proven ability to drive business results with their data-based insights.

Responsibilities
Research and develop statistical and machine learning methodologies to solve complicated business problems
Work with stakeholders to identify opportunities by leveraging large data sets to drive business decisions. Collaborate with sales, marketing and senior executive teams for model development
Strong communication skills and ability to clearly present ideas and technical findings to key decision makers
Qualifications
Knowledge of statistical and machine learning techniques in regressions and classifications such as generalized linear models, classification trees, Random Forest, XGBoost, SVMs etc. Industry experience in such areas a definite plus.
Knowledge of stochastic process in terms of transaction matrix and equilibrium distribution, etc.
Experience in R, Python, and SQL, etc. and in variable selection and dimension reduction skills such as LASSO and PCA
Strong problem-solving skills with an emphasis on financial risk management in sales and marketing predictive analytics
Unsupervised learning experience such as k-means, hierarchical clustering, Bayesian network etc.
Excellent written and verbal communication skills for coordinating across teams
Graduate degree in Statistics, Data Science, Applied Math, Operations Research, Computer Science or other areas in STEM. Exceptional candidates with undergraduate degree will be also be seriously considered.
About Strategic:

Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States.

Please mark @talent.icims.com as a safe sender to ensure recruiter emails don't go to spam",3.6,"Strategic Financial Solutions
3.6","New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Hire,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network"
557,Data Scientist,$106K-$182K (Glassdoor Est.),"Job Description
Client JD below:

We need a technical contractor to assist on building out data cleaning and manipulation tools for our machine learning system. The contractor will sit along side our data scientists to productionize and optimize the code that we have for data ingestion and optimization, and if necessary help to build out the machine learning tools that we are using. A strong background in Python and SQL is a must as that is what our systems are built upon. Additional experience with working with Google compute and cloud services is a plus as our algorithms are being calculated on those systems. We are located in the Flatiron district.
Company Description
SkillSoniq hires great talent for projects within SkillSoniq or with our Clients. Below is the hiring process we follow:
We review applications and resumes for relevant skills and experience
Profiles that get short-listed are contacted by SkillSoniq on next steps
You then go through a few rounds of interviews for the project
If you get selected, you are advised on next steps and paid by SkillSoniq",5,"SkillSoniq
5.0","Los Angeles, CA","Jersey City, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
558,Data Scientist,$106K-$182K (Glassdoor Est.),"OPUS GROUP LLC is seeking a Data Scientist to join our team of qualified, diverse individuals. This position will be located in McLean, VA. The qualified applicant will become part of Department of State (DOS) Consular Systems Modernization (CSM) Program, for the Bureau of Consular Affairs (CA). This initiative is intended to modernize and consolidate the operational environment under a common technology framework in order to better support the services provided to CA's customers. As part of the modernization program, the data scientist will support predictive analytics model development and help inform architectural decisions for data science tools supporting an overall enterprise predictive analytics platform.

Responsibilities
Support the evaluation of existing data and analytics capabilities
Support the design and development of predictive analytics models through the implementation, validation and acceptance of the developed models
Support the design of predictive analytics models using data analytics and machine learning techniques
Help inform the development of architecture and implementation of a large scale data analytics project
Design data science solutions; present approach and results; and interface with customers
Qualifications
Bachelor's degree and at least 15 years' experience
Experience developing data analytics and machine learning algorithms, and performing statistical analysis
Experience using leading data science and machine learning platforms in the industry
Demonstrated ability programming in Python, R, and/or Scala
Must have a current, active Secret (or higher) clearance. Interim clearances may be acceptable.
Preferred Qualifications:
Candidates with these desired skills will be given preferential consideration:
Bachelor's, Master's or PhD degree in Mathematics, Statistics, Data Science, Physics or a related field (Computer Sciences)
Agile development experience on data analytics projects
Experience in cloud based environments
Experience creating data analytics visualizations and dashboards using tools such as Tableau or R Shiny
Experience working within notebook environments such as Jupyter or Zeppelin",3.9,"Opus Group Llc
3.9","Mc Lean, VA","McLean, VA",51 to 200 employees,2006,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
559,Data Scientist,$106K-$182K (Glassdoor Est.),"A retail energy provider in New York is looking for several Data Scientists to join their growing team. Here, you'll have the opportunity to be a part of one of the state's biggest initiatives in the clean energy space. As a part of a small but hungry team, you will work on exciting projects, and get the hands on experience required to thrive in the Data Science field while interfacing with key stake holders and senior leadership regularly. About You - 3-5 years experience in industry as a Data Scientist or Machine Learning Engineer - Masters Degree or PhD in a Quantitative field - Working experience with Python, AWS, SQL - Strong written and oral communication skills - Experience in Energy, Finance, or Digital Retail space - Experience with customer lifetime value, churn propensity, segmentation, cash flow models etc.. If this sounds like you, please apply! Sthree US is acting as an Employment Agency in relation to this vacancy.",-1,Huxley Banking & Financial Services,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
560,Data Scientist,$106K-$182K (Glassdoor Est.),"Job Description
We are adding a Data Scientist to our team supporting the National Ground Intelligence Center (NGIC) in Charlottesville, VA. As a member of this team, you will be working to innovate the Army Intel open-source capabilities and programs. You will develop, transform, and model data to improve decision making, leverage experience with data extraction and manipulation of data sets; create workflows and predictive models for end-users using system tools, and conduct statistical analysis on data to ensure correct predictive forecasting. This role will manage the analytics request process by capturing requirements and be responsible for the creation and maintenance of surveys and deciphering survey analytics. We're looking for a problem-solver who can help strategize new ways to use and analyze existing data.

On a day to day basis you will:
Develop and investigate advanced, complex algorithms and scientific solutions to complex technical problems
Plan and execute research of complex scope regularly involving multiple disciplines
Perform technical targeting directly supporting the mission
Deliver mission-focused innovation
Provide project management reporting and documentation
Provide updates to internal Program Management
Brief customers regularly on various issues/concepts
Establish relationships with current and potential customers
Perform daily tasks with minimal oversight
Required Experience/Qualifications:
BA or MS in Software Engineering, Science, Mathematics, or similar OR equivalent combination of education and experience
5-7 years of experience in data science, advanced analytics, machine learning, statistics
Experience with machine learning (e.g. decision trees, topic modeling, neural networks/deep learning, natural language processing)
Experience with optimization, simulation, modeling, network science and structured analytics
Experience with sampling, collecting, computing, analyzing statistical data, and scripting and data analysis in R or Python
Strong communication skills
Experience with traditional data science methods and techniques for testing hypotheses, identifying outliers, and creating customer-tailored algorithms
Current TS/SCI required
Mount indie is an Equal Opportunity Employer. We celebrate diversity, respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our company. Mount Indie's commitment is to create an inclusive environment for all employees",5,"Mount Indie
5.0","Charlottesville, VA","San Diego, CA",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
561,Data Scientist,$106K-$182K (Glassdoor Est.),"Role: Data Scientist.
Location: Foster City, CA
Hire Type: 12 Months Contract

Job Description:
Advanced degree in Data Science, Statistics, Computer Science, or similar.
Extensive experience as a Data Scientist.
Proficiency in R or Python, where the former is preferred.
In-depth understanding of SQL.
Competent in machine learning principles and techniques.
Demonstrable history of devising and overseeing data-centered projects.
Ability to relay insights in layman's terms, such that these can be used to inform business decisions.
Outstanding supervision and mentorship abilities.
Capacity to foster a healthy, stimulating work environment that frequently harnesses teamwork.",4.2,"Centraprise
4.2","Foster City, CA","Edison, NJ",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,?10 to ?50 million (INR),-1
562,Data Scientist,$106K-$182K (Glassdoor Est.),"The Business

GradTests.com is a leading provider of practice psychometric tests to graduates, students and young professionals.

The Role

A data science all rounder role. The core purpose of the role is to build models to improve the product, the customer experience and ultimately the business. We're looking for someone with a nice blend of technical skills, and softer skills like business acumen, decision making and communication skills.

You'll do things like:
Conceive, devise, create, implement and fine tune data science models to solve a range of business problems, from customer churn through to
Set up, run and analyse A/B experiments for the website and email marketing campaigns
Help devise and layout a high quality infrastructure, upon which future data science can flourish
Help up skill other analytical team members into advanced data science techniques
Produce ad hoc analyses
And let's be honest, a whole load of data wrangling!
Skills and experience

Non negotiables:
SQL
Python or R
Data science models (K-means, random Forrest, neural nets etc.)
Strong foundational knowledge in stats and maths
Experience in actually productionising models and exposing to real customers
Business acumen
Strong communication skills, both written and verbal
Nice to haves:
Experience in working with developers, especially on experimentation
Some kind of cloud based experience (AWS preferred)
Some basic knowledge of source control with Git
Our application process consists of some online testing with Alooba, video call interview and then a case study. We expect the process to take about 10 business days end to end.

Job Types: Full-time, Contract

Salary: $120,000.00 per year

Experience:
Analytics: 1 year (Preferred)
Work Remotely:
Yes",-1,GradTests (gradtests.com),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
563,Data Scientist,$106K-$182K (Glassdoor Est.),"Master's Degree in Mathematics, Statistics, Economics or other quantitative discipline

8-10 years of prior research, data science, or analytical modeling experience in the aforementioned

domains and are familiar with:
statistical and technical tools for analysis (R, Python, SQL, SAS, Cognos, etc.)
automated machine learning tools (Matplotlib, RapidMiner, DataRobot)
retail banking or transaction processing industries
Strong quantitative background to perform daily statistical analyses and coding tasks and are

fluent in:
risk analytics, pricing, risk modeling
pattern recognition or machine learning
data mining, manipulation, analysis, charting and other visualization and reporting tools
large data sets, working with distributed computing tools a plus (Map/Reduce, Hadoop, Hive, etc.)
Research mindset with bias towards action and have the ability to structure a project from idea to

experimentation to prototype to implementation by
manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources including normalized & de-normalized data
demonstrating a strong passion for empirical research and for answering hard questions with data
taking a flexible analytic approach that allows for results at varying levels of precision
can communicate complex quantitative analysis in a clear, precise, and actionable manner to nontechnical stakeholders
Driven and focused self-starter - great communicator - amazing follow-through - aggressively tackle your work and love the responsibility of being individually empowered.

What your DNA looks like.
Passion to win: Thrives in a competitive environment, does what it takes to be THE market leader
Communicative: Must have strong interpersonal skills and the ability to effectively present and explain information to internal and external clients
Resourceful: Resourceful, figure-it-out-and-get-it-done mentality. Ability to work independently in a team environment and help resolve any impasses during a project
Organized: Must be able to prioritize daily, weekly and monthly tasks and possess a ""sense of urgency""
#LI-JW1",5,"Ceres Group
5.0","Boston, MA","Boston, MA",1 to 50 employees,-1,Company - Private,-1,-1,?50 to ?100 million (INR),-1
564,Data Scientist,$106K-$182K (Glassdoor Est.),"Â


Location: Boston, MA
Duration:Â1+ Year Contract

Our client is seeking a hands-on data scientist with financial or healthcare services industry experience. The associate's key differentiating abilities will be outstanding data science, programming and problem-solving skills. Absolutely critical is individual's ability to carry an initiative from ideation to execution.

A natural programmer, with demonstrated industry experience statistics, machine learning, data modeling and building associated pipelines
Experience with one or more of the following tools/frameworks â python, scikit-learn, nltk, pandas, numpy, R, pyspark, scala, SQL/big data tools, TensorFlow, PyTorch, et
3+ years of data science experience in financial, healthcare or digital services industries.
Good communication and problem solving skills
Strong written and oral communications/presentations with the ability to produce a variety of business documents (business requirements, technical specs, slide presentations, etc.) that demonstrate command of language, clarity of thought, and orderliness of presentationÂ
ÂIn addition to core regression, classification and time series skills that accompany the data science role, experience with A/B testing, causal inference and experimentation methods are preferred



At least one advanced degree (Master or PhD level) in a technical or mathematically-oriented discipline, e.g., coursework or experience in fields such as statistics, machine learning, computer science, applied mathematics, econometrics, engineering, etc.

Â

Â

Â

Thanks & Regards.

Mallikharjun.
Mallikharjun@conchtech.com
Direct:( 901)-444-3153Â
""A Certified MBE Company""Â",4.6,"Conch Technologies, Inc
4.6","Boston, MA","Memphis, TN",51 to 200 employees,-1,Company - Private,Consulting,Business Services,?100 to ?500 million (INR),-1
565,Data Scientist,$106K-$182K (Glassdoor Est.),"Job Description
Data Scientist

Contribute to the team’s breeding analytics pipeline with insights gained from analyzing and integrating heterogenous data sets including crop yield trials data, genomic data, management practices and environmental data.

Duties
• Support research and development projects involving statistical analysis, machine learning, and data visualization.
• Intuitively frame problems and determine the appropriate analytical approaches to solve them. • Assist with data collection, ingestion, wrangling, cleansing, and verifying the integrity of data used for analysis • Conduct exploratory analysis to extract insights and uncover important groups, trends, and relationships in data.
• Select features, building and optimizing classifiers using machine learning techniques
• Molding the data into a narrative

Requirements
• The ideal candidate for this position would be pursuing a Master of Science or a PhD in a quantitative discipline such as Statistics, Engineering, Mathematics, Data Science, Statistical Genetics or a related field.
• Demonstrated proficiency in the following:
o R programming, Unix/Linux environment, probability & statistics (Descriptive and Inferential Statistics), machine learning (regression, classification, neural networks)
o Proven ability to think strategically and solve problems creatively.
o Outstanding verbal and written communication skills.
o Capable of assuming ownership of tasks, manage workload, and meet deadlines.
o Eager to learn and master new technologies and techniques.",3.4,"Managed Staffing
3.4","Morrisville, NC","Addison, TX",201 to 500 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,?500 million to ?1 billion (INR),"Rose International, Valtech"
566,Data Scientist,$106K-$182K (Glassdoor Est.),"Cyber Defense Solutions, LLC is actively seeking a Data Scientist to join their team in Reston, Virginia today!

About Us:

Cyber Defense Solutions, LLC (CDS) was founded as a Service Disabled Veteran Owned Small Business in 2008. Since its humble beginnings located at the Mason Enterprise Center start-up incubator in Fairfax, Virginia, CDS has grown exponentially and is now headquartered in Lorton, Virginia. The company started out as a training resource in the cyber security space but has since branched out into providing subject matter experts to the federal government to defend the nations cyber infrastructure. CDS has gained a reputation within, and beyond, the capital beltway for providing quality service and loyalty to our customers and partners.

Salary: $150,000 per year

Responsibilities:
Work with clients to design, create, evaluate, and maintain solutions using your experience and expertise in data science and machine learning
Work with various teams to identify, manage, research, develop, and present data analytics projects and solutions for various national security and intelligence missions
Requirements:
Active Top Secret clearance with SCI eligibility
Undergraduate degree in a STEM field (e.g., computer science, statistics, data analytics, computer engineering, mathematics, physics)
7+ years of hands-on experience working with data science methods (e.g., statistical modeling, information retrieval, graph analysis, data mining, machine learning, and data visualization)
Experience with the following programming languages: Python, SQL, Bash, Scala, Java
Familiarity with the Hadoop framework, specifically Apache Spark, Apache Kafka, and Hive
Ability to work with datasets of many sizes and formats, including any necessary ETL and data preprocessing
Machine learning experience with packages/tools (e.g., Spark ML, TensorFlow, Scikit-learn, Keras)
Data visualization and collaboration with Jupyter Notebooks, Apache Zeppelin, Tableau, Matplotlib
Knowledge of Agile practices and ability to work in a cross-functional team environment
Preferred Qualifications:
DHS suitability at the SCI level
MS/Ph.D. specializing in data science, data analytics, machine learning, or artificial intelligence
Strong collaboration and communication skills
Ability to present material to audiences of differing technical aptitude
Cybersecurity domain knowledge or experience developing data analytics for cyber analysts
Experience with Cloud Computing services (e.g., AWS)
Indeed Hire and Cyber Defense Solutions, LLC are working together to find the best candidate for this job.

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Pay: $150,000.00 per year

Experience:
Python, SQL, Bash, Scala, Java : 1 year (Required)
hands-on experience working with data science methods: 7 years (Required)
Cloud Computing services (e.g., AWS) : 1 year (Preferred)
Education:
Bachelor's (Required)
Job distance:
Reston, VA: Between 31 and 40 miles (Preferred)
Security Clearance Required:
Top Secret (Required)",3.1,"Cyber Defense Solutions, LLC
3.1","Reston, VA","Lorton, VA",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
567,Data Scientist,$106K-$182K (Glassdoor Est.),"Are you excited about an opportunity to apply your experience and passion for experimental design, statistical modeling and optimization techniques to improve customer product experience? Are you a data scientist who dreams of building scalable solutions and innovations that enhances and enriches millions of customers lives every day? If so, this may be a great fit for you!

Audible Product Data Science team partners with technology and product leaders to solve business and technology problems using scientific approaches to build product and services that surprise and delight our customers. Improving Search and Content discovery experience is our key focus. We employ cutting-edge machine learning (ML), deep learning (DL) techniques and Natural Language Processing (NLP) knowledge to improve the relevance of search results, query intents understanding, and recommendation system, etc. We operate in an agile environment in which we own and collaborate the life cycle of research, design, and model development of relevant projects.

As a data scientist, you will be responsible for making experimentation methods recommendations by researching state-of-art methods, examining and tuning the current methods with simulations. You will be working on projects through their entire lifecycle from idea creation through implementation, experimentation and finally, deployment. You will be a key driver in improving our experimentation best practices to accelerate our rate of learning. You will be working with other data scientists, ML experts, engineers as well as product teams locally and abroad, and on cross-disciplinary efforts with other scientists within Amazon.

We are looking for a motivated, results-oriented Data Scientist with strong rigor and demonstrable skills in Experimentation, ML, DL, NLP, data mining and/or large-scale distributed computation.",3.7,"Audible
3.7","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Film Production & Distribution,Media,Unknown / Non-Applicable,-1
568,Data Scientist,$106K-$182K (Glassdoor Est.),"Data Scientist


The data scientist will advocate, evangelize and build data-fueled products that help our customers improve their Capital Project Delivery. You'll dig in and become an expert on our energy sector datasets. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

The data scientist will work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. You will lead applied analytics initiatives that are leveraged across the breadth of our solutions for the technology sector. You will research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes.

You will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

Candidate Requirements:
Posses a Ph.D. (strongly preferred) or Master's Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline.
Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms.
3+ years of experience delivering world-class data science outcomes, the data scientist will solve complex analytical problems using quantitative approaches with their unique blend of analytical, mathematical and technical skills.
Passionate about asking and answering questions in large datasets, and will be to communicate that passion to product managers and engineers.
Keen desire to solve business problems, and live to find patterns and insights within structured and unstructured data.
Propose analytics strategies and solutions that challenge and expand the thinking of everyone around you.
Expert in analyzing large, complex, multi-dimensional datasets with a variety of tools.
Expert in the use of statistical analysis environments such as R, MATLAB, SPSS or SAS.
Experienced with BI tools.
Experience with relational databases as you are with Hadoop-based data mining frameworks.
Experience with SQL, Python, Java and C/C++.

Education:


Master's Degree or higher",4.2,"The CARIAN Group
4.2","New York, NY","South Plainfield, NJ",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
569,Data Scientist,$106K-$182K (Glassdoor Est.),"Company Overview


At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security.


Department Overview
This is a part-time internship position for the Fall 2020 semester located at UIUC Research Park in Champaign, IL. Only UIUC students are eligible to apply.

Job Description
Work closely with data scientists and analysts to design and develop data mining and machine learning algorithms to solve business and customer problems.
Participate in engagement and discovery sessions between data scientists to identify problems/gaps as well as innovation opportunities that can be solved or enabled by the data analytic and modeling.
Implement and test models in a POC (proof of concept) scale to operationalize the outcomes of the predictive modeling and validate the results in the real-world.
Be encouraged and expected to innovate and be creative in your data analysis, problem solving and presentation of solutions.

Basic Requirements
Pursuing a Master’s or Bachelor's Degree in Business Analytics, Data Science, or related technical field

Travel Requirements
None

Relocation Provided
None

Position Type
Intern

Referral Payment Plan
No

EEO Statement

Motorola Solutions is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.


If you are a current Motorola Solutions employee, please click this link to apply through your Workday account.",3.7,"Motorola Solutions
3.7","Champaign, IL","Chicago, IL",10000+ employees,1928,Company - Public,Computer Hardware & Software,Information Technology,?500+ billion (INR),"Cisco Systems, Huawei Technologies, IBM"
570,Data Scientist,$79K-$110K (Glassdoor Est.),"Data Scientist

Sonde Health, a Boston based digital health company, is seeking an outstanding Data Scientist to join our team as we pioneer an entirely new platform for health analytics and monitoring based on the human voice. As a Data Scientist, you will work independently and in collaboration with senior leadership in our research and development team. You will make a meaningful contribution to our ongoing projects within an environment of intellectual curiosity and entrepreneurial spirit. We are looking for someone who is driven to transform complex and novel health data into real-world products.

Qualifications
Proficiency in machine learning including feature selection and extraction, statistics, supervised and unsupervised learning, data modeling, clustering algorithms, and reinforcement/deep learning (emphasis on work outside NLP domain)
5+ years of hands-on experience in data science, non-linear predictive modeling, and analysis in a customer-facing product environment
Software development/engineering experience with fluency in languages such as Python, C++, and R
Experience in hypothesis testing and systematic study design
Familiar with some of the statistical tools: regression, mixed models, model fitting, multiplicity, logistic / Poisson regression, ANOVA, custom model development and power.
Experience with physiological or clinical data sets
Familiar with digital signal processing techniques (FFT, Filters, etc).
Have a Masters / Ph.D. in Computer Science, Statistics, Physics or a related technical field
Youre a self-starter and able to work autonomously
You have strong interpersonal communication skills
You possess steadfast refusal to be intimidated by the size or shape of a data set
Bonus
Experience with AWS environment and services
Familiar with distributed processing frameworks
Experience explaining analysis results with visualizations
Experience building ML-based products based on clinical time-series or image data and medical diagnostic labels (e.g. disease state detection in ECG or Radiology data)
The position is full time, based in Boston and with a competitive salary and benefits (full health insurance, 401k, health club reimbursement, healthy office snacks, etc.).

Powered by JazzHR",-1,Sonde Health,"Boston, MA","Boston, MA",1 to 50 employees,-1,Private Practice / Firm,Healthcare Services & Hospitals,Healthcare,?10 to ?50 million (INR),-1
